Date,Cream,Yoghurt,Condensed milk,Disposals of milk for Other products (Million litres),Butter
2011,242.9,285.8,300.0,323.8,267.3
2012,251.9,265.9,289.2,348.3,293.5
2013,305.0,277.2,290.0,407.3,292.7
2014,302.2,266.9,265.3,473.5,294.6
2015,310.0,290.3,265.3,586.1,305.9
2016,281.4,308.5,260.0,555.3,291.9
2017,301.0,381.6,274.2,540.7,334.2
2018,276.6,384.6,323.1,487.4,289.9
2019,313.6,469.5,354.3,742.8,396.3
2020,325.9,527.5,351.4,679.8,407.0
2021,320.7,462.3,343.2,701.9,432.3
2022,329.3,424.1,339.0,645.3,423.4
